transform_family,transform_strength,n_prompts_b8,nonzero_rate_b8,mean_D_stat_max_b8,median_D_stat_max_b8,mean_D_exact_b8,mean_D_partial_b8,mean_D_transform_b8,n_prompts_b16,nonzero_rate_b16,mean_D_stat_max_b16,median_D_stat_max_b16,mean_D_exact_b16,mean_D_partial_b16,mean_D_transform_b16,delta_mean_D_stat_max
transform_extraction,2,6,1.0,3.999945403340392,3.999945403340392,3.3332878361169933,3.3332878361169933,0.6666575672233986,6,1.0,3.999945403340392,3.999945403340392,3.3332878361169933,3.3332878361169933,0.4216396972804186,0.0
partial_extraction,3,6,1.0,3.659754938227687,3.999945403340392,0.2221333532935283,1.3332407368414734,0.0,6,1.0,3.754927533397412,3.999945403340392,0.3264671021106929,1.4375744856586377,0.0,0.09517259516972487
transform_extraction,3,6,0.8333333333333334,2.6884497938999226,3.999945403340392,1.681601761563818,1.681601761563818,1.65978223655749,6,1.0,2.453984783631272,3.264891793511452,1.6921546212381469,1.6921546212381469,1.509936961784236,-0.23446501026865052
context_injection,2,16,0.5,1.0799678841328078,0.1217784842864683,0.7890183536792051,1.0602725807111577,0.0286920379881089,16,0.75,0.917374809814758,0.122255428034774,0.631303348424231,0.9002089593552363,0.0081823218773729,-0.1625930743180497
partial_extraction,2,6,0.8333333333333334,1.0996217615942927,0.5670339482131135,0.0,0.3271112304453794,0.0,6,1.0,0.8963383188645686,0.6749952886164841,0.0105528596743287,0.3288254040674146,0.0,-0.2032834427297241
transform_extraction,1,6,0.5,0.8469366340538222,0.0654585750189836,0.1802790668304235,0.1802790668304235,0.0,6,0.5,0.7707466617013105,0.0316585790229863,0.1040890944779116,0.1040890944779116,0.0,-0.07618997235251179
context_injection,1,16,0.1875,0.0422279840796468,0.0,0.0245469656321188,0.0422279840796468,0.0,16,0.3125,0.0929391187952889,0.0,0.0424530477671398,0.0926965320697783,0.0,0.050711134715642106
context_injection,3,16,0.125,0.0163646437547459,0.0,0.0163646437547459,0.0163646437547459,0.0,16,0.125,0.0121396442552462,0.0,0.0121396442552462,0.0121396442552462,0.0,-0.004224999499499699
none,0,16,0.125,0.0368743598654818,0.0,0.0081823218773729,0.0368743598654818,0.0,16,0.125,0.011927067194157,0.0,0.0,0.011927067194157,0.0,-0.024947292671324797
partial_extraction,1,6,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
